Epoch,Train_Loss,Val_Precision,Val_Recall,Val_F1
1,0.8126707222064337,0.36982180050828556,0.5478231059288727,0.4415584367453554
2,0.752798935348789,0.36776661884177964,0.5272540281092655,0.4333004600117498
3,0.7219466605534156,0.328127741708496,0.6410695920444256,0.4340761329390304
4,0.6985789722949266,0.35651125401857614,0.6081590675330539,0.4495122213621697
5,0.6754974250371257,0.3856389080055388,0.5762769969126628,0.46206706501369965
6,0.6530388325452805,0.41273996509478555,0.48645869043371115,0.44657749306524525
7,0.6295933038492998,0.41686182669680755,0.5491943777835132,0.47396449213383857
8,0.6084214421610038,0.40810556079074434,0.5937607130593289,0.48373131761134663
9,0.591423627405117,0.4381828637135188,0.5224545766180239,0.4766223562566905
10,0.5704687382342915,0.4467148695364769,0.4871443263610314,0.46605443908786914
11,0.5501603442554672,0.43495587816557085,0.5238258484726643,0.4752721567833145
12,0.5342770473534862,0.40609390609289187,0.5574220089113562,0.4698742907439986
13,0.5163695916036765,0.4181722964115785,0.5474802879652126,0.47416864116900814
